agency,year,budget
United Mine Workers of America Benefit Funds,1990,0
United Mine Workers of America Benefit Funds,1991,0
United Mine Workers of America Benefit Funds,1992,0
United Mine Workers of America Benefit Funds,1993,161091
United Mine Workers of America Benefit Funds,1994,285960
United Mine Workers of America Benefit Funds,1995,336000
United Mine Workers of America Benefit Funds,1996,304000
United Mine Workers of America Benefit Funds,1997,339000
United Mine Workers of America Benefit Funds,1998,340000
United Mine Workers of America Benefit Funds,1999,148000
United Mine Workers of America Benefit Funds,2000,155000
United Mine Workers of America Benefit Funds,2001,150000
United Mine Workers of America Benefit Funds,2002,124000
United Mine Workers of America Benefit Funds,2003,190000
United Mine Workers of America Benefit Funds,2004,127000
United Mine Workers of America Benefit Funds,2005,125000
United Mine Workers of America Benefit Funds,2006,114000
United Mine Workers of America Benefit Funds,2007,49000
United Mine Workers of America Benefit Funds,2008,-8000
United Mine Workers of America Benefit Funds,2009,55000
United Mine Workers of America Benefit Funds,2010,42000
United Mine Workers of America Benefit Funds,2011,38000
United Mine Workers of America Benefit Funds,2012,35000
United Mine Workers of America Benefit Funds,2013,4000
United Mine Workers of America Benefit Funds,2014,95000
United Mine Workers of America Benefit Funds,2015,38000
United Mine Workers of America Benefit Funds,2016,25000
United Mine Workers of America Benefit Funds,2017,31000
United Mine Workers of America Benefit Funds,2018,39000
United Mine Workers of America Benefit Funds,2019,39000
United Mine Workers of America Benefit Funds,2020,42000
Military Compensation and Retirement Modernization Commission,1976,0
Military Compensation and Retirement Modernization Commission,1977,0
Military Compensation and Retirement Modernization Commission,1978,0
Military Compensation and Retirement Modernization Commission,1979,0
Military Compensation and Retirement Modernization Commission,1980,0
Military Compensation and Retirement Modernization Commission,1981,0
Military Compensation and Retirement Modernization Commission,1982,0
Military Compensation and Retirement Modernization Commission,1983,0
Military Compensation and Retirement Modernization Commission,1984,0
Military Compensation and Retirement Modernization Commission,1985,0
Military Compensation and Retirement Modernization Commission,1986,0
Military Compensation and Retirement Modernization Commission,1987,0
Military Compensation and Retirement Modernization Commission,1988,0
Military Compensation and Retirement Modernization Commission,1989,0
Military Compensation and Retirement Modernization Commission,1990,0
Military Compensation and Retirement Modernization Commission,1991,0
Military Compensation and Retirement Modernization Commission,1992,0
Military Compensation and Retirement Modernization Commission,1993,0
Military Compensation and Retirement Modernization Commission,1994,0
Military Compensation and Retirement Modernization Commission,1995,0
Military Compensation and Retirement Modernization Commission,1996,0
Military Compensation and Retirement Modernization Commission,1997,0
Military Compensation and Retirement Modernization Commission,1998,0
Military Compensation and Retirement Modernization Commission,1999,0
Military Compensation and Retirement Modernization Commission,2000,0
Military Compensation and Retirement Modernization Commission,2001,0
Military Compensation and Retirement Modernization Commission,2002,0
Military Compensation and Retirement Modernization Commission,2003,0
Military Compensation and Retirement Modernization Commission,2004,0
Military Compensation and Retirement Modernization Commission,2005,0
Military Compensation and Retirement Modernization Commission,2006,0
Military Compensation and Retirement Modernization Commission,2007,0
Military Compensation and Retirement Modernization Commission,2008,0
Military Compensation and Retirement Modernization Commission,2009,0
Military Compensation and Retirement Modernization Commission,2010,0
Military Compensation and Retirement Modernization Commission,2011,0
Military Compensation and Retirement Modernization Commission,2012,0
Military Compensation and Retirement Modernization Commission,2013,10000
Military Compensation and Retirement Modernization Commission,2014,0
Military Compensation and Retirement Modernization Commission,2015,0
Military Compensation and Retirement Modernization Commission,2016,0
Military Compensation and Retirement Modernization Commission,2017,0
Military Compensation and Retirement Modernization Commission,2018,0
Military Compensation and Retirement Modernization Commission,2019,0
Military Compensation and Retirement Modernization Commission,2020,0
National Commission on Cost of Higher Education,1976,0
National Commission on Cost of Higher Education,1977,0
National Commission on Cost of Higher Education,1978,0
National Commission on Cost of Higher Education,1979,0
National Commission on Cost of Higher Education,1980,0
National Commission on Cost of Higher Education,1981,0
National Commission on Cost of Higher Education,1982,0
National Commission on Cost of Higher Education,1983,0
National Commission on Cost of Higher Education,1984,0
National Commission on Cost of Higher Education,1985,0
National Commission on Cost of Higher Education,1986,0
National Commission on Cost of Higher Education,1987,0
National Commission on Cost of Higher Education,1988,0
National Commission on Cost of Higher Education,1989,0
National Commission on Cost of Higher Education,1990,0
National Commission on Cost of Higher Education,1991,0
National Commission on Cost of Higher Education,1992,0
National Commission on Cost of Higher Education,1993,992
National Commission on Cost of Higher Education,1994,0
National Commission on Cost of Higher Education,1995,0
National Commission on Cost of Higher Education,1996,0
National Commission on Cost of Higher Education,1997,0
National Commission on Cost of Higher Education,1998,0
National Commission on Cost of Higher Education,1999,0
National Commission on Cost of Higher Education,2000,0
National Commission on Cost of Higher Education,2001,0
National Commission on Cost of Higher Education,2002,0
National Commission on Cost of Higher Education,2003,0
National Commission on Cost of Higher Education,2004,0
National Commission on Cost of Higher Education,2005,0
National Commission on Cost of Higher Education,2006,0
National Commission on Cost of Higher Education,2007,0
National Commission on Cost of Higher Education,2008,0
National Commission on Cost of Higher Education,2009,0
National Commission on Cost of Higher Education,2010,0
National Commission on Cost of Higher Education,2011,0
National Commission on Cost of Higher Education,2012,0
National Commission on Cost of Higher Education,2013,0
National Commission on Cost of Higher Education,2014,0
National Commission on Cost of Higher Education,2015,0
National Commission on Cost of Higher Education,2016,0
National Commission on Cost of Higher Education,2017,0
National Commission on Cost of Higher Education,2018,0
National Commission on Cost of Higher Education,2019,0
National Commission on Cost of Higher Education,2020,0
"National Commission on Financial Institutions Reform, Recovery, and Enforcement",1976,0
"National Commission on Financial Institutions Reform, Recovery, and Enforcement",1977,0
"National Commission on Financial Institutions Reform, Recovery, and Enforcement",1978,0
"National Commission on Financial Institutions Reform, Recovery, and Enforcement",1979,0
"National Commission on Financial Institutions Reform, Recovery, and Enforcement",1980,0
"National Commission on Financial Institutions Reform, Recovery, and Enforcement",1981,0
"National Commission on Financial Institutions Reform, Recovery, and Enforcement",1982,0
"National Commission on Financial Institutions Reform, Recovery, and Enforcement",1983,0
"National Commission on Financial Institutions Reform, Recovery, and Enforcement",1984,0
"National Commission on Financial Institutions Reform, Recovery, and Enforcement",1985,0
"National Commission on Financial Institutions Reform, Recovery, and Enforcement",1986,0
"National Commission on Financial Institutions Reform, Recovery, and Enforcement",1987,0
"National Commission on Financial Institutions Reform, Recovery, and Enforcement",1988,0
"National Commission on Financial Institutions Reform, Recovery, and Enforcement",1989,0
"National Commission on Financial Institutions Reform, Recovery, and Enforcement",1990,0
"National Commission on Financial Institutions Reform, Recovery, and Enforcement",1991,0
"National Commission on Financial Institutions Reform, Recovery, and Enforcement",1992,1000
"National Commission on Financial Institutions Reform, Recovery, and Enforcement",1993,0
"National Commission on Financial Institutions Reform, Recovery, and Enforcement",1994,0
"National Commission on Financial Institutions Reform, Recovery, and Enforcement",1995,0
"National Commission on Financial Institutions Reform, Recovery, and Enforcement",1996,0
"National Commission on Financial Institutions Reform, Recovery, and Enforcement",1997,0
"National Commission on Financial Institutions Reform, Recovery, and Enforcement",1998,0
"National Commission on Financial Institutions Reform, Recovery, and Enforcement",1999,0
"National Commission on Financial Institutions Reform, Recovery, and Enforcement",2000,0
"National Commission on Financial Institutions Reform, Recovery, and Enforcement",2001,0
"National Commission on Financial Institutions Reform, Recovery, and Enforcement",2002,0
"National Commission on Financial Institutions Reform, Recovery, and Enforcement",2003,0
"National Commission on Financial Institutions Reform, Recovery, and Enforcement",2004,0
"National Commission on Financial Institutions Reform, Recovery, and Enforcement",2005,0
"National Commission on Financial Institutions Reform, Recovery, and Enforcement",2006,0
"National Commission on Financial Institutions Reform, Recovery, and Enforcement",2007,0
"National Commission on Financial Institutions Reform, Recovery, and Enforcement",2008,0
"National Commission on Financial Institutions Reform, Recovery, and Enforcement",2009,0
"National Commission on Financial Institutions Reform, Recovery, and Enforcement",2010,0
"National Commission on Financial Institutions Reform, Recovery, and Enforcement",2011,0
"National Commission on Financial Institutions Reform, Recovery, and Enforcement",2012,0
"National Commission on Financial Institutions Reform, Recovery, and Enforcement",2013,0
"National Commission on Financial Institutions Reform, Recovery, and Enforcement",2014,0
"National Commission on Financial Institutions Reform, Recovery, and Enforcement",2015,0
"National Commission on Financial Institutions Reform, Recovery, and Enforcement",2016,0
"National Commission on Financial Institutions Reform, Recovery, and Enforcement",2017,0
"National Commission on Financial Institutions Reform, Recovery, and Enforcement",2018,0
"National Commission on Financial Institutions Reform, Recovery, and Enforcement",2019,0
"National Commission on Financial Institutions Reform, Recovery, and Enforcement",2020,0
National Commission on Independent Higher Education,1976,0
National Commission on Independent Higher Education,1977,0
National Commission on Independent Higher Education,1978,0
National Commission on Independent Higher Education,1979,0
National Commission on Independent Higher Education,1980,0
National Commission on Independent Higher Education,1981,0
National Commission on Independent Higher Education,1982,0
National Commission on Independent Higher Education,1983,0
National Commission on Independent Higher Education,1984,0
National Commission on Independent Higher Education,1985,0
National Commission on Independent Higher Education,1986,0
National Commission on Independent Higher Education,1987,0
National Commission on Independent Higher Education,1988,0
National Commission on Independent Higher Education,1989,0
National Commission on Independent Higher Education,1990,0
National Commission on Independent Higher Education,1991,0
National Commission on Independent Higher Education,1992,0
National Commission on Independent Higher Education,1993,992
National Commission on Independent Higher Education,1994,0
National Commission on Independent Higher Education,1995,0
National Commission on Independent Higher Education,1996,0
National Commission on Independent Higher Education,1997,0
National Commission on Independent Higher Education,1998,0
National Commission on Independent Higher Education,1999,0
National Commission on Independent Higher Education,2000,0
National Commission on Independent Higher Education,2001,0
National Commission on Independent Higher Education,2002,0
National Commission on Independent Higher Education,2003,0
National Commission on Independent Higher Education,2004,0
National Commission on Independent Higher Education,2005,0
National Commission on Independent Higher Education,2006,0
National Commission on Independent Higher Education,2007,0
National Commission on Independent Higher Education,2008,0
National Commission on Independent Higher Education,2009,0
National Commission on Independent Higher Education,2010,0
National Commission on Independent Higher Education,2011,0
National Commission on Independent Higher Education,2012,0
National Commission on Independent Higher Education,2013,0
National Commission on Independent Higher Education,2014,0
National Commission on Independent Higher Education,2015,0
National Commission on Independent Higher Education,2016,0
National Commission on Independent Higher Education,2017,0
National Commission on Independent Higher Education,2018,0
National Commission on Independent Higher Education,2019,0
National Commission on Independent Higher Education,2020,0
Corporation for National and Community Service,1976,0
Corporation for National and Community Service,1977,109110
Corporation for National and Community Service,1978,118377
Corporation for National and Community Service,1979,119175
Corporation for National and Community Service,1980,145542
Corporation for National and Community Service,1981,153090
Corporation for National and Community Service,1982,131858
Corporation for National and Community Service,1983,129321
Corporation for National and Community Service,1984,135590
Corporation for National and Community Service,1985,150164
Corporation for National and Community Service,1986,144782
Corporation for National and Community Service,1987,156287
Corporation for National and Community Service,1988,163085
Corporation for National and Community Service,1989,170420
Corporation for National and Community Service,1990,175665
Corporation for National and Community Service,1991,191289
Corporation for National and Community Service,1992,198592
Corporation for National and Community Service,1993,201526
Corporation for National and Community Service,1994,577272
Corporation for National and Community Service,1995,695000
Corporation for National and Community Service,1996,610000
Corporation for National and Community Service,1997,626000
Corporation for National and Community Service,1998,696000
Corporation for National and Community Service,1999,757000
Corporation for National and Community Service,2000,671000
Corporation for National and Community Service,2001,755000
Corporation for National and Community Service,2002,756000
Corporation for National and Community Service,2003,748000
Corporation for National and Community Service,2004,940000
Corporation for National and Community Service,2005,938000
Corporation for National and Community Service,2006,929000
Corporation for National and Community Service,2007,903000
Corporation for National and Community Service,2008,872000
Corporation for National and Community Service,2009,1099000
Corporation for National and Community Service,2010,1164000
Corporation for National and Community Service,2011,1084000
Corporation for National and Community Service,2012,1052000
Corporation for National and Community Service,2013,996000
Corporation for National and Community Service,2014,1051000
Corporation for National and Community Service,2015,1060000
Corporation for National and Community Service,2016,1189000
Corporation for National and Community Service,2017,1213000
Corporation for National and Community Service,2018,1236000
Corporation for National and Community Service,2019,1249000
Corporation for National and Community Service,2020,1261000
United States Enrichment Corporation Fund,1976,0
United States Enrichment Corporation Fund,1977,0
United States Enrichment Corporation Fund,1978,0
United States Enrichment Corporation Fund,1979,0
United States Enrichment Corporation Fund,1980,0
United States Enrichment Corporation Fund,1981,0
United States Enrichment Corporation Fund,1982,0
United States Enrichment Corporation Fund,1983,0
United States Enrichment Corporation Fund,1984,0
United States Enrichment Corporation Fund,1985,0
United States Enrichment Corporation Fund,1986,0
United States Enrichment Corporation Fund,1987,0
United States Enrichment Corporation Fund,1988,0
United States Enrichment Corporation Fund,1989,0
United States Enrichment Corporation Fund,1990,0
United States Enrichment Corporation Fund,1991,0
United States Enrichment Corporation Fund,1992,0
United States Enrichment Corporation Fund,1993,0
United States Enrichment Corporation Fund,1994,0
United States Enrichment Corporation Fund,1995,0
United States Enrichment Corporation Fund,1996,0
United States Enrichment Corporation Fund,1997,0
United States Enrichment Corporation Fund,1998,0
United States Enrichment Corporation Fund,1999,0
United States Enrichment Corporation Fund,2000,-5000
United States Enrichment Corporation Fund,2001,0
United States Enrichment Corporation Fund,2002,0
United States Enrichment Corporation Fund,2003,0
United States Enrichment Corporation Fund,2004,0
United States Enrichment Corporation Fund,2005,0
United States Enrichment Corporation Fund,2006,0
United States Enrichment Corporation Fund,2007,-59000
United States Enrichment Corporation Fund,2008,-68000
United States Enrichment Corporation Fund,2009,-27000
United States Enrichment Corporation Fund,2010,2000
United States Enrichment Corporation Fund,2011,-26000
United States Enrichment Corporation Fund,2012,-5000
United States Enrichment Corporation Fund,2013,-10000
United States Enrichment Corporation Fund,2014,-4000
United States Enrichment Corporation Fund,2015,-4000
United States Enrichment Corporation Fund,2016,-4000
United States Enrichment Corporation Fund,2017,-4000
United States Enrichment Corporation Fund,2018,-4000
United States Enrichment Corporation Fund,2019,-4000
United States Enrichment Corporation Fund,2020,-4000
Morris K. Udall and Stewart L. Udall Foundation,1976,0
Morris K. Udall and Stewart L. Udall Foundation,1977,0
Morris K. Udall and Stewart L. Udall Foundation,1978,0
Morris K. Udall and Stewart L. Udall Foundation,1979,0
Morris K. Udall and Stewart L. Udall Foundation,1980,0
Morris K. Udall and Stewart L. Udall Foundation,1981,0
Morris K. Udall and Stewart L. Udall Foundation,1982,0
Morris K. Udall and Stewart L. Udall Foundation,1983,0
Morris K. Udall and Stewart L. Udall Foundation,1984,0
Morris K. Udall and Stewart L. Udall Foundation,1985,0
Morris K. Udall and Stewart L. Udall Foundation,1986,0
Morris K. Udall and Stewart L. Udall Foundation,1987,0
Morris K. Udall and Stewart L. Udall Foundation,1988,0
Morris K. Udall and Stewart L. Udall Foundation,1989,0
Morris K. Udall and Stewart L. Udall Foundation,1990,0
Morris K. Udall and Stewart L. Udall Foundation,1991,0
Morris K. Udall and Stewart L. Udall Foundation,1992,0
Morris K. Udall and Stewart L. Udall Foundation,1993,-4937
Morris K. Udall and Stewart L. Udall Foundation,1994,0
Morris K. Udall and Stewart L. Udall Foundation,1995,1000
Morris K. Udall and Stewart L. Udall Foundation,1996,1000
Morris K. Udall and Stewart L. Udall Foundation,1997,2000
Morris K. Udall and Stewart L. Udall Foundation,1998,3000
Morris K. Udall and Stewart L. Udall Foundation,1999,5000
Morris K. Udall and Stewart L. Udall Foundation,2000,2000
Morris K. Udall and Stewart L. Udall Foundation,2001,3000
Morris K. Udall and Stewart L. Udall Foundation,2002,3000
Morris K. Udall and Stewart L. Udall Foundation,2003,3000
Morris K. Udall and Stewart L. Udall Foundation,2004,3000
Morris K. Udall and Stewart L. Udall Foundation,2005,3000
Morris K. Udall and Stewart L. Udall Foundation,2006,4000
Morris K. Udall and Stewart L. Udall Foundation,2007,5000
Morris K. Udall and Stewart L. Udall Foundation,2008,5000
Morris K. Udall and Stewart L. Udall Foundation,2009,5000
Morris K. Udall and Stewart L. Udall Foundation,2010,7000
Morris K. Udall and Stewart L. Udall Foundation,2011,8000
Morris K. Udall and Stewart L. Udall Foundation,2012,7000
Morris K. Udall and Stewart L. Udall Foundation,2013,7000
Morris K. Udall and Stewart L. Udall Foundation,2014,5000
Morris K. Udall and Stewart L. Udall Foundation,2015,5000
Morris K. Udall and Stewart L. Udall Foundation,2016,5000
Morris K. Udall and Stewart L. Udall Foundation,2017,6000
Morris K. Udall and Stewart L. Udall Foundation,2018,6000
Morris K. Udall and Stewart L. Udall Foundation,2019,6000
Morris K. Udall and Stewart L. Udall Foundation,2020,6000
JFK Assassination Records Review Board,1976,0
JFK Assassination Records Review Board,1977,0
JFK Assassination Records Review Board,1978,0
JFK Assassination Records Review Board,1979,0
JFK Assassination Records Review Board,1980,0
JFK Assassination Records Review Board,1981,0
JFK Assassination Records Review Board,1982,0
JFK Assassination Records Review Board,1983,0
JFK Assassination Records Review Board,1984,0
JFK Assassination Records Review Board,1985,0
JFK Assassination Records Review Board,1986,0
JFK Assassination Records Review Board,1987,0
JFK Assassination Records Review Board,1988,0
JFK Assassination Records Review Board,1989,0
JFK Assassination Records Review Board,1990,0
JFK Assassination Records Review Board,1991,0
JFK Assassination Records Review Board,1992,0
JFK Assassination Records Review Board,1993,0
JFK Assassination Records Review Board,1994,0
JFK Assassination Records Review Board,1995,2000
JFK Assassination Records Review Board,1996,2000
JFK Assassination Records Review Board,1997,2000
JFK Assassination Records Review Board,1998,2000
JFK Assassination Records Review Board,1999,0
JFK Assassination Records Review Board,2000,0
JFK Assassination Records Review Board,2001,0
JFK Assassination Records Review Board,2002,0
JFK Assassination Records Review Board,2003,0
JFK Assassination Records Review Board,2004,0
JFK Assassination Records Review Board,2005,0
JFK Assassination Records Review Board,2006,0
JFK Assassination Records Review Board,2007,0
JFK Assassination Records Review Board,2008,0
JFK Assassination Records Review Board,2009,0
JFK Assassination Records Review Board,2010,0
JFK Assassination Records Review Board,2011,0
JFK Assassination Records Review Board,2012,0
JFK Assassination Records Review Board,2013,0
JFK Assassination Records Review Board,2014,0
JFK Assassination Records Review Board,2015,0
JFK Assassination Records Review Board,2016,0
JFK Assassination Records Review Board,2017,0
JFK Assassination Records Review Board,2018,0
JFK Assassination Records Review Board,2019,0
JFK Assassination Records Review Board,2020,0
National Education Goals Panel,1976,0
National Education Goals Panel,1977,0
National Education Goals Panel,1978,0
National Education Goals Panel,1979,0
National Education Goals Panel,1980,0
National Education Goals Panel,1981,0
National Education Goals Panel,1982,0
National Education Goals Panel,1983,0
National Education Goals Panel,1984,0
National Education Goals Panel,1985,0
National Education Goals Panel,1986,0
National Education Goals Panel,1987,0
National Education Goals Panel,1988,0
National Education Goals Panel,1989,0
National Education Goals Panel,1990,0
National Education Goals Panel,1991,0
National Education Goals Panel,1992,0
National Education Goals Panel,1993,0
National Education Goals Panel,1994,3000
National Education Goals Panel,1995,0
National Education Goals Panel,1996,1000
National Education Goals Panel,1997,1000
National Education Goals Panel,1998,2000
National Education Goals Panel,1999,2000
National Education Goals Panel,2000,2000
National Education Goals Panel,2001,2000
National Education Goals Panel,2002,0
National Education Goals Panel,2003,0
National Education Goals Panel,2004,0
National Education Goals Panel,2005,0
National Education Goals Panel,2006,0
National Education Goals Panel,2007,0
National Education Goals Panel,2008,0
National Education Goals Panel,2009,0
National Education Goals Panel,2010,0
National Education Goals Panel,2011,0
National Education Goals Panel,2012,0
National Education Goals Panel,2013,0
National Education Goals Panel,2014,0
National Education Goals Panel,2015,0
National Education Goals Panel,2016,0
National Education Goals Panel,2017,0
National Education Goals Panel,2018,0
National Education Goals Panel,2019,0
National Education Goals Panel,2020,0
National Education Standards and Improvement Council,1976,0
National Education Standards and Improvement Council,1977,0
National Education Standards and Improvement Council,1978,0
National Education Standards and Improvement Council,1979,0
National Education Standards and Improvement Council,1980,0
National Education Standards and Improvement Council,1981,0
National Education Standards and Improvement Council,1982,0
National Education Standards and Improvement Council,1983,0
National Education Standards and Improvement Council,1984,0
National Education Standards and Improvement Council,1985,0
National Education Standards and Improvement Council,1986,0
National Education Standards and Improvement Council,1987,0
National Education Standards and Improvement Council,1988,0
National Education Standards and Improvement Council,1989,0
National Education Standards and Improvement Council,1990,0
National Education Standards and Improvement Council,1991,0
National Education Standards and Improvement Council,1992,0
National Education Standards and Improvement Council,1993,0
National Education Standards and Improvement Council,1994,2000
National Education Standards and Improvement Council,1995,0
National Education Standards and Improvement Council,1996,0
National Education Standards and Improvement Council,1997,0
National Education Standards and Improvement Council,1998,0
National Education Standards and Improvement Council,1999,0
National Education Standards and Improvement Council,2000,0
National Education Standards and Improvement Council,2001,0
National Education Standards and Improvement Council,2002,0
National Education Standards and Improvement Council,2003,0
National Education Standards and Improvement Council,2004,0
National Education Standards and Improvement Council,2005,0
National Education Standards and Improvement Council,2006,0
National Education Standards and Improvement Council,2007,0
National Education Standards and Improvement Council,2008,0
National Education Standards and Improvement Council,2009,0
National Education Standards and Improvement Council,2010,0
National Education Standards and Improvement Council,2011,0
National Education Standards and Improvement Council,2012,0
National Education Standards and Improvement Council,2013,0
National Education Standards and Improvement Council,2014,0
National Education Standards and Improvement Council,2015,0
National Education Standards and Improvement Council,2016,0
National Education Standards and Improvement Council,2017,0
National Education Standards and Improvement Council,2018,0
National Education Standards and Improvement Council,2019,0
National Education Standards and Improvement Council,2020,0
Ounce of Prevention Council,1976,0
Ounce of Prevention Council,1977,0
Ounce of Prevention Council,1978,0
Ounce of Prevention Council,1979,0
Ounce of Prevention Council,1980,0
Ounce of Prevention Council,1981,0
Ounce of Prevention Council,1982,0
Ounce of Prevention Council,1983,0
Ounce of Prevention Council,1984,0
Ounce of Prevention Council,1985,0
Ounce of Prevention Council,1986,0
Ounce of Prevention Council,1987,0
Ounce of Prevention Council,1988,0
Ounce of Prevention Council,1989,0
Ounce of Prevention Council,1990,0
Ounce of Prevention Council,1991,0
Ounce of Prevention Council,1992,0
Ounce of Prevention Council,1993,0
Ounce of Prevention Council,1994,0
Ounce of Prevention Council,1995,2000
Ounce of Prevention Council,1996,2000
Ounce of Prevention Council,1997,0
Ounce of Prevention Council,1998,0
Ounce of Prevention Council,1999,0
Ounce of Prevention Council,2000,0
Ounce of Prevention Council,2001,0
Ounce of Prevention Council,2002,0
Ounce of Prevention Council,2003,0
Ounce of Prevention Council,2004,0
Ounce of Prevention Council,2005,0
Ounce of Prevention Council,2006,0
Ounce of Prevention Council,2007,0
Ounce of Prevention Council,2008,0
Ounce of Prevention Council,2009,0
Ounce of Prevention Council,2010,0
Ounce of Prevention Council,2011,0
Ounce of Prevention Council,2012,0
Ounce of Prevention Council,2013,0
Ounce of Prevention Council,2014,0
Ounce of Prevention Council,2015,0
Ounce of Prevention Council,2016,0
Ounce of Prevention Council,2017,0
Ounce of Prevention Council,2018,0
Ounce of Prevention Council,2019,0
Ounce of Prevention Council,2020,0
National Bankruptcy Review Commission,1976,0
National Bankruptcy Review Commission,1977,0
National Bankruptcy Review Commission,1978,0
National Bankruptcy Review Commission,1979,0
National Bankruptcy Review Commission,1980,0
National Bankruptcy Review Commission,1981,0
National Bankruptcy Review Commission,1982,0
National Bankruptcy Review Commission,1983,0
National Bankruptcy Review Commission,1984,0
National Bankruptcy Review Commission,1985,0
National Bankruptcy Review Commission,1986,0
National Bankruptcy Review Commission,1987,0
National Bankruptcy Review Commission,1988,0
National Bankruptcy Review Commission,1989,0
National Bankruptcy Review Commission,1990,0
National Bankruptcy Review Commission,1991,0
National Bankruptcy Review Commission,1992,0
National Bankruptcy Review Commission,1993,0
National Bankruptcy Review Commission,1994,0
National Bankruptcy Review Commission,1995,1000
National Bankruptcy Review Commission,1996,0
National Bankruptcy Review Commission,1997,0
National Bankruptcy Review Commission,1998,0
National Bankruptcy Review Commission,1999,0
National Bankruptcy Review Commission,2000,0
National Bankruptcy Review Commission,2001,0
National Bankruptcy Review Commission,2002,0
National Bankruptcy Review Commission,2003,0
National Bankruptcy Review Commission,2004,0
National Bankruptcy Review Commission,2005,0
National Bankruptcy Review Commission,2006,0
National Bankruptcy Review Commission,2007,0
National Bankruptcy Review Commission,2008,0
National Bankruptcy Review Commission,2009,0
National Bankruptcy Review Commission,2010,0
National Bankruptcy Review Commission,2011,0
National Bankruptcy Review Commission,2012,0
National Bankruptcy Review Commission,2013,0
National Bankruptcy Review Commission,2014,0
National Bankruptcy Review Commission,2015,0
National Bankruptcy Review Commission,2016,0
National Bankruptcy Review Commission,2017,0
National Bankruptcy Review Commission,2018,0
National Bankruptcy Review Commission,2019,0
National Bankruptcy Review Commission,2020,0
Other Commissions and Boards,1976,0
Other Commissions and Boards,1977,0
Other Commissions and Boards,1978,0
Other Commissions and Boards,1979,0
Other Commissions and Boards,1980,0
Other Commissions and Boards,1981,0
Other Commissions and Boards,1982,0
Other Commissions and Boards,1983,0
Other Commissions and Boards,1984,0
Other Commissions and Boards,1985,0
Other Commissions and Boards,1986,0
Other Commissions and Boards,1987,0
Other Commissions and Boards,1988,0
Other Commissions and Boards,1989,0
Other Commissions and Boards,1990,0
Other Commissions and Boards,1991,-1
Other Commissions and Boards,1992,-13
Other Commissions and Boards,1993,-54
Other Commissions and Boards,1994,-532
Other Commissions and Boards,1995,-1000
Other Commissions and Boards,1996,0
Other Commissions and Boards,1997,-1000
Other Commissions and Boards,1998,-1000
Other Commissions and Boards,1999,1000
Other Commissions and Boards,2000,3000
Other Commissions and Boards,2001,1000
Other Commissions and Boards,2002,0
Other Commissions and Boards,2003,-1000
Other Commissions and Boards,2004,2000
Other Commissions and Boards,2005,1000
Other Commissions and Boards,2006,1000
Other Commissions and Boards,2007,0
Other Commissions and Boards,2008,1000
Other Commissions and Boards,2009,1000
Other Commissions and Boards,2010,1000
Other Commissions and Boards,2011,1000
Other Commissions and Boards,2012,1000
Other Commissions and Boards,2013,1000
Other Commissions and Boards,2014,1000
Other Commissions and Boards,2015,1000
Other Commissions and Boards,2016,1000
Other Commissions and Boards,2017,1000
Other Commissions and Boards,2018,1000
Other Commissions and Boards,2019,1000
Other Commissions and Boards,2020,1000
River Basin Commissions,1976,0
River Basin Commissions,1977,0
River Basin Commissions,1978,0
River Basin Commissions,1979,0
River Basin Commissions,1980,0
River Basin Commissions,1981,0
River Basin Commissions,1982,0
River Basin Commissions,1983,0
River Basin Commissions,1984,0
River Basin Commissions,1985,0
River Basin Commissions,1986,0
River Basin Commissions,1987,0
River Basin Commissions,1988,0
River Basin Commissions,1989,0
River Basin Commissions,1990,0
River Basin Commissions,1991,0
River Basin Commissions,1992,0
River Basin Commissions,1993,0
River Basin Commissions,1994,0
River Basin Commissions,1995,2000
River Basin Commissions,1996,2000
River Basin Commissions,1997,0
River Basin Commissions,1998,0
River Basin Commissions,1999,0
River Basin Commissions,2000,0
River Basin Commissions,2001,0
River Basin Commissions,2002,0
River Basin Commissions,2003,0
River Basin Commissions,2004,0
River Basin Commissions,2005,0
River Basin Commissions,2006,0
River Basin Commissions,2007,0
River Basin Commissions,2008,0
River Basin Commissions,2009,0
River Basin Commissions,2010,0
River Basin Commissions,2011,0
River Basin Commissions,2012,0
River Basin Commissions,2013,0
River Basin Commissions,2014,0
River Basin Commissions,2015,0
River Basin Commissions,2016,0
River Basin Commissions,2017,0
River Basin Commissions,2018,0
River Basin Commissions,2019,0
River Basin Commissions,2020,0
Chemical Safety and Hazard Investigation Board,1976,0
Chemical Safety and Hazard Investigation Board,1977,0
Chemical Safety and Hazard Investigation Board,1978,0
Chemical Safety and Hazard Investigation Board,1979,0
Chemical Safety and Hazard Investigation Board,1980,0
Chemical Safety and Hazard Investigation Board,1981,0
Chemical Safety and Hazard Investigation Board,1982,0
Chemical Safety and Hazard Investigation Board,1983,0
Chemical Safety and Hazard Investigation Board,1984,0
Chemical Safety and Hazard Investigation Board,1985,0
Chemical Safety and Hazard Investigation Board,1986,0
Chemical Safety and Hazard Investigation Board,1987,0
Chemical Safety and Hazard Investigation Board,1988,0
Chemical Safety and Hazard Investigation Board,1989,0
Chemical Safety and Hazard Investigation Board,1990,0
Chemical Safety and Hazard Investigation Board,1991,0
Chemical Safety and Hazard Investigation Board,1992,0
Chemical Safety and Hazard Investigation Board,1993,0
Chemical Safety and Hazard Investigation Board,1994,0
