agency,year,budget
Department of Education,1977,10568432
Department of Education,1978,11625238
Department of Education,1979,13996301
Department of Education,1980,15209363
Department of Education,1981,16752391
Department of Education,1982,15373814
Department of Education,1983,15266918
Department of Education,1984,15336381
Department of Education,1985,18952355
Department of Education,1986,17750395
Department of Education,1987,19474929
Department of Education,1988,20098427
Department of Education,1989,22819217
Department of Education,1990,24549063
Department of Education,1991,27360401
Department of Education,1992,28685140
Department of Education,1993,31324467
Department of Education,1994,26881169
Department of Education,1995,32245000
Department of Education,1996,29097000
Department of Education,1997,33519000
Department of Education,1998,35298000
Department of Education,1999,33643000
Department of Education,2000,31816000
Department of Education,2001,39734000
Department of Education,2002,55838000
Department of Education,2003,63001000
Department of Education,2004,67161000
Department of Education,2005,74476000
Department of Education,2006,100019000
Department of Education,2007,68265000
Department of Education,2008,65399000
Department of Education,2009,131891000
Department of Education,2010,62911000
Department of Education,2011,43628000
Department of Education,2012,57458000
Department of Education,2013,39495000
Department of Education,2014,55200000
Department of Education,2015,97460000
Department of Education,2016,73757000
Department of Education,2017,80700000
Department of Education,2018,87826000
Department of Education,2019,94381000
Department of Education,2020,100216000
Department of Energy,1976,0
Department of Energy,1977,7020888
Department of Energy,1978,10466706
Department of Energy,1979,9804810
Department of Energy,1980,10766648
Department of Energy,1981,11240531
Department of Energy,1982,12485142
Department of Energy,1983,11892450
Department of Energy,1984,10951622
Department of Energy,1985,12617344
Department of Energy,1986,10558266
Department of Energy,1987,10124102
Department of Energy,1988,11162261
Department of Energy,1989,11695785
Department of Energy,1990,13982829
Department of Energy,1991,16101501
Department of Energy,1992,17197019
Department of Energy,1993,17711707
Department of Energy,1994,17159431
Department of Energy,1995,15019000
Department of Energy,1996,14128000
Department of Energy,1997,14073000
Department of Energy,1998,14371000
Department of Energy,1999,16353000
Department of Energy,2000,15291000
Department of Energy,2001,17666000
Department of Energy,2002,18447000
Department of Energy,2003,20552000
Department of Energy,2004,21988000
Department of Energy,2005,21093000
Department of Energy,2006,21085000
Department of Energy,2007,21686000
Department of Energy,2008,22739000
Department of Energy,2009,68557000
Department of Energy,2010,23026000
Department of Energy,2011,22648000
Department of Energy,2012,22721000
Department of Energy,2013,21221000
Department of Energy,2014,22174000
Department of Energy,2015,25653000
Department of Energy,2016,29195000
Department of Energy,2017,28349000
Department of Energy,2018,28401000
Department of Energy,2019,28987000
Department of Energy,2020,30221000
Environmental Protection Agency,1976,0
Environmental Protection Agency,1977,2763705
Environmental Protection Agency,1978,5498603
Environmental Protection Agency,1979,5402544
Environmental Protection Agency,1980,4669399
Environmental Protection Agency,1981,3026426
Environmental Protection Agency,1982,3673704
Environmental Protection Agency,1983,3688332
