word,date,matches,freq
him,2008,1081366,0.001927269
himself,1701,1,8.03E-07
himself,1702,1,8.81E-07
himself,1703,232,0.000133012
himself,1706,3,3.32E-06
himself,1708,122,1.00E-04
himself,1710,107,6.47E-05
himself,1711,31,2.10E-05
himself,1713,4,4.67E-06
himself,1714,362,0.000193868
himself,1716,115,0.000148451
himself,1717,108,8.84E-05
himself,1719,251,0.000130917
himself,1720,1,4.95E-07
himself,1721,2,1.25E-06
himself,1722,1,6.76E-07
himself,1723,151,0.000108856
himself,1724,168,9.60E-05
himself,1725,33,1.55E-05
himself,1726,181,5.28E-05
himself,1727,9,2.12E-06
himself,1729,16,3.91E-06
himself,1731,869,0.000198235
himself,1732,25,6.59E-06
himself,1733,12,8.66E-06
himself,1734,11,3.77E-06
himself,1735,18,6.14E-06
himself,1736,58,3.08E-05
himself,1737,186,7.07E-05
himself,1738,1,3.06E-07
himself,1739,83,1.12E-05
himself,1741,5,1.95E-06
himself,1743,40,9.59E-06
himself,1744,1,2.02E-07
himself,1745,58,1.37E-05
himself,1747,213,1.64E-05
himself,1748,482,0.000108027
himself,1749,62,1.03E-05
himself,1750,165,1.95E-05
himself,1751,105,1.60E-05
himself,1752,286,5.28E-05
himself,1753,5,5.80E-07
himself,1754,47,5.14E-06
himself,1755,464,5.21E-05
himself,1757,185,2.27E-05
himself,1758,420,5.21E-05
himself,1759,179,1.73E-05
himself,1760,45,6.17E-06
himself,1761,138,2.79E-05
himself,1762,56,1.50E-05
himself,1763,413,7.93E-05
himself,1764,77,1.29E-05
himself,1765,165,3.31E-05
himself,1766,199,2.10E-05
himself,1767,194,2.14E-05
himself,1768,6,4.96E-07
himself,1769,29,3.31E-06
himself,1770,3,2.54E-07
himself,1771,473,4.88E-05
himself,1772,5,5.27E-07
himself,1773,8,9.45E-07
himself,1774,341,3.64E-05
himself,1775,198,2.14E-05
himself,1776,547,5.12E-05
himself,1777,13,1.06E-06
himself,1778,162,2.07E-05
himself,1779,125,1.35E-05
himself,1780,1525,0.000162461
himself,1781,140,1.49E-05
himself,1782,1575,0.000177989
himself,1783,164,1.51E-05
