word,date,freq
^CC,1581,7.92E-07
^CC,1582,8.20E-07
^CC,1583,8.05E-07
^CC,1584,8.54E-07
^CC,1585,7.91E-07
^CC,1586,7.72E-07
^CC,1587,7.90E-07
^CC,1588,8.16E-07
^CC,1589,7.89E-07
^CC,1590,7.63E-07
^CC,1591,7.92E-07
^CC,1592,7.96E-07
^CC,1593,7.72E-07
^CC,1594,8.49E-07
^CC,1595,7.59E-07
^CC,1596,7.70E-07
^CC,1597,7.63E-07
^CC,1598,7.77E-07
^CC,1599,7.86E-07
^CC,1600,7.89E-07
^CC,1601,7.91E-07
^CC,1602,7.56E-07
^CC,1603,7.82E-07
^CC,1604,7.75E-07
^CC,1605,7.84E-07
^CC,1606,7.81E-07
^CC,1607,7.83E-07
^CC,1608,7.84E-07
^CC,1609,7.28E-07
^CC,1610,8.35E-07
^CC,1611,7.83E-07
^CC,1612,7.74E-07
^CC,1613,7.80E-07
^CC,1614,7.90E-07
^CC,1615,8.27E-07
^CC,1616,7.80E-07
^CC,1617,7.71E-07
^CC,1618,7.86E-07
^CC,1619,7.78E-07
^CC,1620,7.88E-07
^CC,1621,7.06E-07
^CC,1622,7.69E-07
^CC,1623,7.38E-07
^CC,1624,7.65E-07
^CC,1625,8.06E-07
^CC,1626,7.28E-07
^CC,1627,8.44E-07
^CC,1628,7.63E-07
^CC,1629,7.65E-07
^CC,1630,7.58E-07
^CC,1631,7.22E-07
^CC,1632,7.53E-07
^CC,1633,7.40E-07
^CC,1634,7.31E-07
^CC,1635,7.37E-07
^CC,1636,7.11E-07
^CC,1637,7.28E-07
^CC,1638,7.51E-07
^CC,1639,7.24E-07
^CC,1640,7.20E-07
^CC,1641,7.31E-07
^CC,1642,7.19E-07
^CC,1643,7.22E-07
^CC,1644,7.12E-07
^CC,1645,7.29E-07
^CC,1646,7.44E-07
^CC,1647,7.57E-07
^CC,1648,7.48E-07
^CC,1649,7.35E-07
^CC,1650,7.28E-07
^CC,1651,7.63E-07
^CC,1652,7.13E-07
^CC,1653,7.35E-07
^CC,1654,7.18E-07
^CC,1655,7.33E-07
^CC,1656,7.47E-07
^CC,1657,7.52E-07
^CC,1658,7.75E-07
^CC,1659,7.44E-07
^CC,1660,6.95E-07
^CC,1661,7.08E-07
^CC,1662,6.96E-07
^CC,1663,7.50E-07
^CC,1664,7.42E-07
^CC,1665,7.19E-07
^CC,1666,7.34E-07
^CC,1667,7.17E-07
^CC,1668,8.37E-07
^CC,1669,7.04E-07
^CC,1670,7.20E-07
^CC,1671,7.43E-07
^CC,1672,7.03E-07
^CC,1673,7.22E-07
^CC,1674,6.84E-07
^CC,1675,7.34E-07
^CC,1676,7.45E-07
^CC,1677,7.47E-07
^CC,1678,7.60E-07
^CC,1679,6.67E-07
^CC,1680,7.34E-07
^CC,1681,7.50E-07
^CC,1682,7.37E-07
^CC,1683,7.65E-07
^CC,1684,6.95E-07
^CC,1685,7.14E-07
^CC,1686,7.33E-07
^CC,1687,7.61E-07
^CC,1688,7.65E-07
^CC,1689,6.99E-07
^CC,1690,6.62E-07
^CC,1691,7.52E-07
^CC,1692,7.30E-07
^CC,1693,7.31E-07
^CC,1694,7.14E-07
^CC,1695,6.98E-07
^CC,1696,7.26E-07
^CC,1697,6.95E-07
^CC,1698,7.36E-07
^CC,1699,7.25E-07
^CC,1700,7.38E-07
^Ci,1476,2.19E-07
^Ci,1477,1.79E-07
^Ci,1478,1.74E-07
^Ci,1479,1.53E-07
^Ci,1480,1.82E-07
^Ci,1481,8.92E-08
^Ci,1482,1.36E-07
^Ci,1483,8.58E-08
^Ci,1484,8.68E-08
^Ci,1485,1.34E-07
^Ci,1486,1.66E-07
^Ci,1487,8.13E-08
^Ci,1489,7.08E-08
^Ci,1490,7.93E-08
^Ci,1491,6.17E-08
^Ci,1492,1.50E-07
^Ci,1493,1.48E-07
^Ci,1494,1.75E-07
^Ci,1495,7.09E-08
^Ci,1496,7.97E-08
^Ci,1497,9.21E-08
^Ci,1498,6.26E-08
^Ci,1499,7.62E-08
^Ci,1500,5.10E-08
^Ci,1502,8.43E-08
^Ci,1503,8.98E-08
^Ci,1504,1.01E-07
^Ci,1506,7.38E-08
^Ci,1507,5.97E-08
^Ci,1508,1.00E-07
^Ci,1509,7.36E-08
^Ci,1510,8.35E-08
^Ci,1511,6.27E-08
^Ci,1513,5.33E-08
^Ci,1514,5.31E-08
^Ci,1515,7.30E-08
^Ci,1516,9.95E-08
^Ci,1517,9.95E-08
^Ci,1518,1.02E-07
^Ci,1519,9.64E-08
^Ci,1520,8.12E-08
^Ci,1521,5.61E-08
^Ci,1523,1.25E-07
^Ci,1524,6.83E-08
^Ci,1525,9.70E-08
^Ci,1526,6.46E-08
^Ci,1527,1.11E-07
^Ci,1528,1.16E-07
^Ci,1529,8.69E-08
^Ci,1530,1.06E-07
^Ci,1531,1.19E-07
^Ci,1532,9.50E-08
^Ci,1533,7.64E-08
^Ci,1534,1.23E-07
^Ci,1535,9.09E-08
^Ci,1536,7.94E-08
^Ci,1537,9.55E-08
^Ci,1538,1.08E-07
^Ci,1539,9.41E-08
^Ci,1540,9.14E-08
^Ci,1541,1.34E-07
^Ci,1542,9.19E-08
^Ci,1543,1.02E-07
^Ci,1544,1.30E-07
^Ci,1545,1.34E-07
^Ci,1546,1.13E-07
^Ci,1547,1.16E-07
^Ci,1548,1.43E-07
^Ci,1549,1.31E-07
^Ci,1550,1.12E-07
^Ci,1551,1.51E-07
^Ci,1552,1.17E-07
^Ci,1553,1.62E-07
^Ci,1554,1.68E-07
^Ci,1555,1.28E-07
^Ci,1556,1.37E-07
^Ci,1557,1.58E-07
^Ci,1558,2.00E-07
^Ci,1559,1.86E-07
^Ci,1560,1.62E-07
^Ci,1561,1.91E-07
^Ci,1562,1.65E-07
^Ci,1563,1.59E-07
^Ci,1564,1.71E-07
^Ci,1565,1.67E-07
^Ci,1566,1.86E-07
^Ci,1567,2.05E-07
^Ci,1568,1.88E-07
^Ci,1569,2.13E-07
^Ci,1570,2.02E-07
^Ci,1571,1.86E-07
^Ci,1572,1.90E-07
^Ci,1573,1.90E-07
^Ci,1574,1.89E-07
^Ci,1575,2.09E-07
^Ci,1576,1.89E-07
^Ci,1577,2.03E-07
^Ci,1578,2.80E-07
^Ci,1579,2.00E-07
^Ci,1580,2.02E-07
^Ci,1581,2.01E-07
^Ci,1582,1.92E-07
^Ci,1583,2.00E-07
^Ci,1584,2.05E-07
^Ci,1585,2.17E-07
^Ci,1586,2.21E-07
^Ci,1587,2.42E-07
^Ci,1588,2.19E-07
^Ci,1589,2.12E-07
^Ci,1590,2.60E-07
^Ci,1591,2.08E-07
^Ci,1592,2.26E-07
^Ci,1593,2.24E-07
^Ci,1594,2.13E-07
^Ci,1595,2.33E-07
^Ci,1596,2.74E-07
^Ci,1597,2.48E-07
^Ci,1598,2.27E-07
^Ci,1599,2.28E-07
^Ci,1600,2.27E-07
^Ci,1601,2.24E-07
^Ci,1602,2.25E-07
^Ci,1603,2.33E-07
^Ci,1604,2.15E-07
^Ci,1605,2.25E-07
^Ci,1606,2.03E-07
^Ci,1607,2.30E-07
^Ci,1608,2.24E-07
^Ci,1609,2.20E-07
^Ci,1610,2.05E-07
^Ci,1611,2.58E-07
^Ci,1612,2.53E-07
^Ci,1613,2.37E-07
^Ci,1614,2.37E-07
^Ci,1615,2.24E-07
^Ci,1616,2.37E-07
^Ci,1617,2.20E-07
^Ci,1618,2.09E-07
^Ci,1619,2.33E-07
^Ci,1620,2.26E-07
^Ci,1621,2.29E-07
^Ci,1622,2.22E-07
^Ci,1623,2.34E-07
^Ci,1624,2.21E-07
^Ci,1625,2.32E-07
^Ci,1626,2.16E-07
^Ci,1627,2.03E-07
^Ci,1628,2.12E-07
^Ci,1629,2.07E-07
^Ci,1630,1.95E-07
^Ci,1631,2.25E-07
^Ci,1632,2.37E-07
^Ci,1633,2.32E-07
^Ci,1634,2.25E-07
^Ci,1635,2.09E-07
^Ci,1636,2.23E-07
^Ci,1637,2.06E-07
^Ci,1638,2.13E-07
^Ci,1639,2.32E-07
^Ci,1640,2.29E-07
^Ci,1641,2.07E-07
^Ci,1642,2.05E-07
^Ci,1643,2.28E-07
^Ci,1644,2.08E-07
^Ci,1645,2.10E-07
^Ci,1646,2.06E-07
^Ci,1647,2.01E-07
^Ci,1648,2.09E-07
^Ci,1649,2.18E-07
^Ci,1650,2.11E-07
^Ci,1651,2.07E-07
^Ci,1652,2.48E-07
^Ci,1653,2.20E-07
^Ci,1654,2.02E-07
^Ci,1655,2.11E-07
^Ci,1656,2.15E-07
^Ci,1657,2.06E-07
^Ci,1658,2.03E-07
^Ci,1659,2.07E-07
^Ci,1660,2.09E-07
^Ci,1661,2.28E-07
^Ci,1662,2.17E-07
^Ci,1663,2.17E-07
^Ci,1664,2.05E-07
^Ci,1665,2.33E-07
^Ci,1666,2.06E-07
^Ci,1667,2.20E-07
^Ci,1668,2.15E-07
^Ci,1669,2.27E-07
^Ci,1670,2.06E-07
^Ci,1671,2.06E-07
^Ci,1672,2.06E-07
